timestamp_ist,symbol,action,entry_price,quantity,stop_loss,target,confidence,ai_source,composite_score,status,pnl
2026-05-21 14:44:36,APOLLOHOSP,BUY,8299.0,1,8251.35,8394.3,0.8,groq,0.6,OPEN,0.0
2026-05-21 14:45:45,HDFCLIFE,BUY,613.35,16,610.61,618.84,0.8,groq,1.0,OPEN,0.0
2026-05-21 15:02:17,HINDALCO,BUY,1101.3,9,1095.36,1113.18,0.8,groq,1.0,OPEN,0.0
2026-05-21 15:36:07,APOLLOHOSP,BUY,8299.0,1,8251.35,8394.3,0.8,groq,0.6,CLOSED,24.5
2026-05-21 15:36:07,HDFCLIFE,BUY,613.35,16,610.61,618.84,0.8,groq,1.0,CLOSED,12.0
2026-05-21 15:36:07,HINDALCO,BUY,1101.3,9,1095.36,1113.18,0.8,groq,1.0,CLOSED,-11.7
2026-05-22 09:34:36,APOLLOHOSP,BUY,8315.5,1,8264.75,8417.01,0.8,groq,0.6,OPEN,0.0
2026-05-22 09:34:48,TITAN,BUY,4109.0,2,4086.5,4154.0,0.8,groq,0.6,OPEN,0.0
2026-05-22 10:25:35,TITAN,BUY,4109.0,2,4086.5,4154.0,0.8,groq,0.6,CLOSED,-45.0
2026-05-22 11:18:45,EICHERMOT,BUY,6977.5,1,6942.65,7047.2,0.8,groq,0.6,OPEN,0.0
2026-05-22 11:35:46,BAJAJFINSV,BUY,1769.2,5,1761.81,1783.97,0.8,groq,1.0,OPEN,0.0
2026-05-22 11:52:16,APOLLOHOSP,BUY,8315.5,1,8264.75,8417.01,0.8,groq,0.6,CLOSED,101.51
2026-05-22 12:11:14,APOLLOHOSP,BUY,8388.5,1,8342.06,8481.39,0.8,groq,1.0,OPEN,0.0
2026-05-22 13:38:55,TITAN,BUY,4107.7,2,4091.48,4140.14,0.8,groq,0.6,OPEN,0.0
2026-05-22 14:29:39,TITAN,BUY,4107.7,2,4091.48,4140.14,0.8,groq,0.6,CLOSED,-32.44
2026-05-22 14:31:04,TITAN,BUY,4099.0,2,4082.68,4131.65,0.8,groq,0.6,OPEN,0.0
2026-05-22 15:04:30,TITAN,BUY,4099.0,2,4082.68,4131.65,0.8,groq,0.6,CLOSED,-32.64
2026-05-22 15:38:49,EICHERMOT,BUY,6977.5,1,6942.65,7047.2,0.8,groq,0.6,CLOSED,7.5
2026-05-22 15:38:50,BAJAJFINSV,BUY,1769.2,5,1761.81,1783.97,0.8,groq,1.0,CLOSED,9.0
2026-05-22 15:38:51,APOLLOHOSP,BUY,8388.5,1,8342.06,8481.39,0.8,groq,1.0,CLOSED,-30.0
2026-05-25 09:58:47,DIVISLAB,BUY,6930.0,1,6843.93,7102.13,0.8,groq,1.0,OPEN,0.0
2026-05-25 10:33:07,DIVISLAB,BUY,6930.0,1,6843.93,7102.13,0.8,groq,1.0,CLOSED,-86.07
2026-05-25 10:34:19,ASIANPAINT,BUY,2672.8,3,2657.71,2702.98,0.8,groq,0.6,OPEN,0.0
2026-05-25 12:35:46,BAJAJFINSV,BUY,1802.0,5,1794.35,1817.3,0.8,groq,1.0,OPEN,0.0
2026-05-25 13:09:06,WIPRO,BUY,208.04,48,206.52,211.08,0.8,groq,1.0,OPEN,0.0
2026-05-25 13:27:33,POWERGRID,BUY,295.65,33,294.72,297.5,0.8,groq,0.6,OPEN,0.0
2026-05-25 14:35:40,ASIANPAINT,BUY,2672.8,3,2657.71,2702.98,0.8,groq,0.6,CLOSED,-45.27
2026-05-25 14:54:33,KOTAKBANK,BUY,392.4,25,390.76,395.68,0.8,groq,1.0,OPEN,0.0
2026-05-25 15:27:50,WIPRO,BUY,208.04,48,206.52,211.08,0.8,groq,1.0,CLOSED,-72.96
2026-05-25 15:44:51,BAJAJFINSV,BUY,1802.0,5,1794.35,1817.3,0.8,groq,1.0,CLOSED,40.0
2026-05-25 15:44:52,POWERGRID,BUY,295.65,33,294.72,297.5,0.8,groq,0.6,CLOSED,-11.55
2026-05-25 15:44:52,KOTAKBANK,BUY,392.4,25,390.76,395.68,0.8,groq,1.0,CLOSED,22.5
2026-05-26 09:16:04,WIPRO,BUY,206.9,48,205.63,209.44,0.8,groq,0.3,OPEN,0.0
2026-05-26 10:44:03,BAJAJFINSV,BUY,1811.7,5,1802.21,1830.68,0.8,groq,1.0,OPEN,0.0
2026-05-26 11:52:32,EICHERMOT,BUY,7426.0,1,7394.41,7489.19,0.8,groq,1.0,OPEN,0.0
2026-05-26 12:26:53,GRASIM,BUY,3188.6,3,3177.89,3210.01,0.8,groq,1.0,OPEN,0.0
2026-05-26 13:01:28,EICHERMOT,BUY,7426.0,1,7394.41,7489.19,0.8,groq,1.0,CLOSED,-31.59
2026-05-26 13:01:29,GRASIM,BUY,3188.6,3,3177.89,3210.01,0.8,groq,1.0,CLOSED,-32.13
2026-05-26 13:20:41,RELIANCE,SELL,1362.2,7,1366.69,1353.23,0.7,fallback,-0.6,OPEN,0.0
2026-05-26 14:11:31,WIPRO,BUY,206.9,48,205.63,209.44,0.8,groq,0.3,CLOSED,-60.96
2026-05-26 14:28:59,BAJAJFINSV,BUY,1811.7,5,1802.21,1830.68,0.8,groq,1.0,CLOSED,-47.45
